iter	Passed	Remaining
247	1695	1722
248	1702	1715
249	1708	1708
250	1715	1701
251	1721	1694
252	1728	1687
253	1734	1680
254	1740	1672
255	1748	1666
256	1754	1658
257	1760	1651
258	1766	1643
259	1772	1636
260	1779	1629
261	1785	1622
262	1792	1615
263	1798	1608
264	1804	1600
265	1812	1594
266	1820	1588
267	1826	1580
268	1833	1574
269	1839	1566
270	1845	1559
271	1852	1553
272	1858	1545
273	1865	1538
274	1871	1531
275	1877	1523
276	1884	1517
277	1889	1508
278	1895	1501
279	1901	1493
280	1907	1486
281	1914	1480
282	1920	1472
283	1927	1465
284	1934	1459
285	1940	1451
286	1947	1445
287	1955	1439
288	1961	1432
289	1968	1425
290	1974	1418
291	1980	1410
292	1986	1403
293	1993	1396
294	2000	1390
295	2007	1383
296	2014	1376
297	2021	1370
298	2028	1363
299	2034	1356
300	2040	1348
301	2047	1342
302	2053	1335
303	2060	1328
304	2066	1321
305	2072	1314
306	2078	1306
307	2084	1299
308	2091	1292
309	2098	1286
310	2104	1278
311	2110	1271
312	2116	1264
313	2122	1257
314	2129	1250
315	2134	1243
316	2142	1236
317	2149	1230
318	2155	1223
319	2161	1216
320	2168	1209
321	2174	1201
322	2180	1195
323	2188	1188
324	2194	1181
325	2202	1175
326	2208	1168
327	2214	1161
328	2219	1153
329	2227	1147
330	2233	1140
331	2241	1134
332	2248	1127
333	2254	1120
334	2260	1113
335	2267	1106
336	2274	1100
337	2280	1093
338	2287	1086
339	2293	1079
340	2300	1072
341	2307	1065
342	2312	1058
343	2318	1051
344	2325	1044
345	2332	1038
346	2338	1030
347	2344	1023
348	2352	1017
349	2358	1010
350	2365	1004
351	2372	997
352	2378	990
353	2386	984
354	2392	977
355	2398	970
356	2404	963
357	2410	956
358	2417	949
359	2424	942
360	2429	935
361	2435	928
362	2442	921
363	2449	915
364	2455	908
365	2462	901
366	2469	894
367	2474	887
368	2480	880
369	2487	873
370	2493	866
371	2501	860
372	2509	854
373	2515	847
374	2522	840
375	2529	834
376	2536	827
377	2543	820
378	2549	814
379	2557	807
380	2564	800
381	2572	794
382	2579	788
383	2586	781
384	2594	774
385	2599	767
386	2606	761
387	2613	754
388	2618	747
389	2625	740
390	2631	733
391	2638	726
392	2644	719
393	2650	713
394	2657	706
395	2665	699
396	2671	693
397	2677	686
398	2683	679
399	2689	672
400	2695	665
401	2702	658
402	2707	651
403	2714	645
404	2721	638
405	2727	631
406	2734	624
407	2740	617
408	2746	611
409	2752	604
410	2759	597
411	2765	590
412	2772	583
413	2778	577
414	2784	570
415	2789	563
416	2795	556
417	2801	549
418	2809	543
419	2815	536
420	2820	529
421	2825	522
422	2832	515
423	2837	508
424	2843	501
425	2850	495
426	2856	488
427	2864	481
428	2870	475
429	2876	468
430	2883	461
431	2890	454
432	2897	448
433	2904	441
434	2910	434
435	2917	428
436	2923	421
437	2931	414
438	2937	408
439	2944	401
440	2950	394
441	2956	387
442	2962	381
443	2970	374
444	2976	367
445	2984	361
446	2990	354
447	2996	347
448	3003	341
449	3010	334
450	3017	327
451	3023	321
452	3030	314
453	3039	307
454	3046	301
455	3053	294
456	3059	287
457	3066	281
458	3074	274
459	3080	267
460	3088	261
461	3094	254
462	3101	247
463	3108	241
464	3114	234
465	3122	227
466	3130	221
467	3135	214
468	3141	207
469	3148	200
470	3154	194
471	3162	187
472	3169	180
473	3176	174
474	3183	167
475	3191	160
476	3198	154
477	3204	147
478	3211	140
479	3217	134
480	3223	127
481	3230	120
482	3237	113
483	3243	107
484	3251	100
485	3258	93
486	3265	87
487	3271	80
488	3276	73
489	3282	66
490	3290	60
491	3296	53
492	3302	46
493	3309	40
494	3316	33
495	3323	26
496	3329	20
497	3336	13
498	3343	6
499	3349	0
