iter	RMSE
196	1.089338696
197	1.088127495
198	1.087052644
199	1.083649543
200	1.081802729
201	1.0805469
202	1.079824516
203	1.076461477
204	1.075189644
205	1.073054843
206	1.071854028
207	1.071467094
208	1.070776517
209	1.070240316
210	1.069821907
211	1.069422547
212	1.068332445
213	1.066126254
214	1.065515226
215	1.065022538
216	1.064578103
217	1.062227808
218	1.059652456
219	1.056179703
220	1.053593274
221	1.052791619
222	1.052384161
223	1.052059199
224	1.05014855
225	1.048725509
226	1.04697238
227	1.04643611
228	1.042429135
229	1.040310328
230	1.038655961
231	1.037415802
232	1.036678969
233	1.035004603
234	1.032828872
235	1.032404358
236	1.030611903
237	1.027490289
238	1.024569692
239	1.023198332
240	1.020674951
241	1.018761588
242	1.01731678
243	1.015411245
244	1.014566483
245	1.013542329
246	1.011237301
247	1.009207925
248	1.006385817
249	1.005531946
250	1.003992063
251	1.002521046
252	1.000497015
253	0.9988473895
254	0.9980762676
255	0.9962476075
256	0.9954995457
257	0.9934614166
258	0.9920871696
259	0.9914230044
260	0.9903350595
261	0.9891921452
262	0.9874905556
263	0.9860179521
264	0.9846233102
265	0.9811929979
266	0.9790467711
267	0.9785556343
268	0.9777533192
269	0.9762293011
270	0.9746369879
271	0.9715323228
272	0.9698130711
273	0.9689662707
274	0.9668859421
275	0.9650000638
276	0.963180217
277	0.9628401028
278	0.961436739
279	0.9596746334
280	0.9589708588
281	0.9561179251
282	0.9549622956
283	0.9534185727
284	0.9512366048
285	0.9506892988
286	0.9496245951
287	0.9489991192
288	0.9474922865
289	0.945824633
290	0.9444601359
291	0.9439159155
292	0.9435164323
293	0.9425486363
294	0.9416717211
295	0.9411175053
296	0.9381669536
297	0.9366405356
298	0.9357553842
299	0.934779407
300	0.9341721571
301	0.9325207583
302	0.9321650648
303	0.9311916526
304	0.92988167
305	0.9287581589
306	0.9283706287
307	0.9280813322
308	0.9256579012
309	0.9241196536
310	0.9230287711
311	0.922474237
312	0.9202613488
313	0.9192356805
314	0.9175310618
315	0.9163265043
316	0.9159716296
317	0.9132496283
318	0.912153316
319	0.9116338806
320	0.910681913
321	0.9095815586
322	0.9088490446
323	0.9062773651
324	0.9059312941
325	0.9048338355
326	0.9039042218
327	0.9034449923
328	0.902347739
329	0.9016403646
330	0.9001931611
331	0.8982847177
332	0.896856327
333	0.8966304704
334	0.8956952284
335	0.894975372
336	0.8942872104
337	0.8926145094
338	0.8917701583
339	0.8909194272
340	0.8884631253
341	0.8880324761
342	0.8878017948
343	0.8869090147
344	0.8863268759
345	0.8854087398
346	0.8842697943
347	0.8832628482
348	0.8825948984
349	0.8814199483
350	0.8797943391
351	0.8789713637
352	0.8780421863
353	0.8776108233
354	0.8768207609
355	0.8758546341
356	0.87430991
357	0.8738215333
358	0.871587722
359	0.8712827942
360	0.8706662838
361	0.8698647072
362	0.8678640813
363	0.8670762976
364	0.8662456613
365	0.8650348144
366	0.8644618779
367	0.8640969933
368	0.8637052899
369	0.8627231973
370	0.8618122378
371	0.8614245901
372	0.8608093604
373	0.8599848061
374	0.8578507438
375	0.8565954798
376	0.8563306201
377	0.8558084954
378	0.8545325278
379	0.8526531178
380	0.8522171941
381	0.8519018585
382	0.8504765681
383	0.8500054301
384	0.8490346569
385	0.8481350568
386	0.847449492
387	0.8465485178
388	0.8457446501
389	0.8452190635
390	0.844685942
391	0.8441801983
392	0.8434244331
393	0.8427545826
394	0.8418890284
395	0.8412318106
396	0.8404853084
397	0.8401718462
398	0.8397296268
399	0.8391140295
400	0.8381125286
401	0.8372381182
402	0.8369753536
403	0.8365621001
404	0.8348417398
405	0.8341657925
406	0.8328642569
407	0.8320276578
408	0.8304386757
409	0.8297976575
410	0.8282397192
411	0.8278716253
412	0.8264534119
413	0.8261247796
414	0.8252239587
415	0.8243726244
416	0.8231196909
417	0.8223588232
418	0.8213603763
419	0.8211590789
420	0.8209649809
421	0.8205340155
422	0.8201019946
423	0.8199063276
424	0.8191242755
425	0.8173840641
426	0.8164036459
427	0.8156919128
428	0.8150535418
429	0.8139989931
430	0.8127373341
431	0.8115675978
432	0.8112914646
433	0.8104488035
434	0.8098174493
435	0.8085109527
436	0.8078415681
437	0.8062047699
438	0.8056709379
439	0.8041113428
440	0.8037264986
441	0.802998074
442	0.8026435548
443	0.8004877749
444	0.7998698552
445	0.7993815625
446	0.7988540727
447	0.7986931505
448	0.7979501104
449	0.7975113163
450	0.796028774
451	0.7955062805
452	0.7937130739
453	0.7934225552
454	0.7917111587
455	0.790880422
456	0.7902422084
457	0.7888644878
458	0.7872790697
459	0.78703736
460	0.7856172207
461	0.7849763842
462	0.7832754596
463	0.7827834229
464	0.7822078553
465	0.7806326561
466	0.7799447946
467	0.7797434006
468	0.7790589491
469	0.7782725644
470	0.7774972808
471	0.7760064951
472	0.7747522104
473	0.7743657214
474	0.7731462588
475	0.7718185406
476	0.7709377447
477	0.7703128147
478	0.7693627703
479	0.768456288
480	0.7677256387
481	0.7671198622
482	0.7658943311
483	0.7656099563
484	0.7645496398
485	0.7628911168
486	0.7621736673
487	0.7615811445
488	0.7611352746
489	0.7609171346
490	0.7597411079
491	0.7587410187
492	0.7580607867
493	0.7577112266
494	0.7566114009
495	0.7559713323
496	0.7546238428
497	0.7539044981
498	0.7526454854
499	0.752013951
